Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,180.5,-110,-90,top
C1,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.8,-71.4,-90,top
C2,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.2,-90.775,90,top
C3,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.5,-97.3,-90,top
C4,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.35,-84.5,0,top
C5,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,168.9,-95.8,-90,top
C6,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,159.7,-96.3,180,top
C7,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,157.9,-81.1,90,top
C8,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,171,-95.8,-90,top
C9,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.1,-102.08125,0,top
C10,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.2,-96.18125,0,top
C11,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.9,-82.3,0,top
C12,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.9,-80.6,0,top
C13,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.2,-94.08125,180,top
C14,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.2,-91.98125,180,top
C15,18p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.5135,-85.349,90,top
C16,18p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.68225,-87.8,-90,top
C17,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.9,-59.1,90,top
C18,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,157.5,-111.25,0,top
C19,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.75,-115.225,90,top
C20,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.725,-62.425,-90,top
C21,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.6825,-74.635,180,top
C22,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.7825,-72.435,0,top
C24,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.4,-77.4,180,top
C25,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.6,-77,-90,top
C26,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,168.4,-58.7,90,top
C27,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.2,-66.6,0,top
C28,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.2,-68.7,0,top
D1,ws2812b,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,190.5,-108.7,0,top
D2,D_Schottky,D_2114_3652Metric,152.6,-107.85,180,top
D3,D_Schottky,D_2114_3652Metric,159.9,-107.775,0,top
D4,SRV05-4.TCT,SOT95P280X145-6N,181.25,-99.25,-90,top
D6,1N5819WS,D_SOD-323,173.3,-114.2,-90,top
FB1,FerriteBead,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.1,-99.08125,90,top
J3,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical,120.355,-61.705,0,top
J4,Drouge,MOLEX_26013114,136.3,-113.77,0,top
J7,Conn_Coaxial_Small,SMA_Amphenol_132291_Vertical,179.5,-56.3,0,top
J8,Micro_SD_Card,microSD_HC_Molex_47219-2001,187.125,-85.7,90,top
J9,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,190.8,-99.4,90,top
PowerLED1,RLED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,191.9,-114.6,180,top
Q1,IRLML2502TRPBF,SOT23,144.8,-104.6,180,top
Q2,IRLML2502TRPBF,SOT23,135.2,-104.4,180,top
Q3,BC817,SOT-23,181.1,-122.6,0,top
Q4,IRLML2502TRPBF,SOT23,125,-104.8,180,top
Q6,Q_PMOS_GSD,SOIC127P599X175-8N,155.145,-124.9,180,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.5,-92.875,90,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124,-86.3,180,top
R3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,188.5,-115.8,-90,top
R4,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.6,-98.45,90,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.95,-101.95,0,top
R6,75k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.4,-104.875,-90,top
R7,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.4,-99.875,90,top
R8,120R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144,-56,180,top
R9,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,137.9,-100.5,90,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138,-104.3,-90,top
R11,75k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.9,-104.5,-90,top
R12,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132,-99.25,90,top
R13,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,184.35,-95.5,90,top
R14,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,184.25,-101.3,-90,top
R15,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.7,-87.8,0,top
R16,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.7,-101.4,180,top
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.7,-62.2,180,top
R18,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,169.6,-61.7,0,top
R19,470r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174.5,-121.9,0,top
R20,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.3,-122.8,90,top
R21,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.1,-93.4,0,top
R22,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.8,-100.2,-90,top
R23,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148,-99.3,90,top
R24,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148,-103,-90,top
R25,75k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,141,-104,-90,top
R26,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,141.1,-99.5,90,top
R27,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.8,-68.7,90,top
R28,27r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.5,-92.5,90,top
R29,27r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178,-98,90,top
R30,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.8,-121.2,180,top
R31,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.4,-63.7,0,top
R32,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150,-77.5,0,top
R33,10k,R_0805_2012Metric,165.05,-102.175,-90,top
R36,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.9,-70.2,0,top
SW1,SAMZO G4R0015010,SAMZO G4R0015010,120.1,-91.5,0,top
SW2,SAMZO G4R0015010,SAMZO G4R0015010,120.1,-82.55,0,top
TP8,TestPoint,TestPoint_Pad_1.5x1.5mm,161.45,-67.25,0,top
TP9,TestPoint,TestPoint_Pad_1.5x1.5mm,165,-69.75,0,top
TP10,TestPoint,TestPoint_Pad_1.5x1.5mm,155.9,-69.95,0,top
U1,STM32F405RGT6,LQFP-64_10x10mm_P0.5mm,163.6,-88.5,0,top
U2,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,149.6,-59.2,0,top
U4,LDL1117-3.3,SOT230P700X180-4N,157.4,-116.4,0,top
U5,RFM95W-915S2,XCVR_RFM95W-915S2,184.975,-69.025,180,top
U6,Bosch BMP388,PQFN50P200X200X80-10N,161.05,-72.035,180,top
U7,LSM6DS3TR-C,LGA-14-2.5X3MM,142.3,-74.6,0,top
U8,W25Q128JVP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,163.9875,-61.7,0,top
U9,H3LIS331DL,PQFN50P300X300X100-16N,151.6,-72.4,0,top
Y1,8mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,151.1135,-86.799,-90,top
